id,A,B,C,D,E,F,class
1974,24,51,45,4,58,49,1
1388,19,81,28,84,38,17,0
759,46,94,27,97,46,51,0
1194,75,2,83,24,76,54,1
706,26,17,22,97,96,66,0
1671,43,11,4,50,75,45,1
966,59,16,76,19,6,0,1
1651,85,25,54,30,45,45,0
1859,55,90,31,74,11,66,1
1937,51,47,11,59,68,14,1
1495,73,32,38,97,86,30,1
1736,75,27,10,54,41,84,1
841,6,86,54,20,35,17,1
1228,20,14,47,78,95,37,0
1550,50,60,60,45,24,64,1
1049,78,41,83,41,84,11,1
10,70,48,38,65,10,80,0
635,25,23,4,21,50,93,1
234,24,33,80,16,32,12,1
962,58,8,61,4,47,21,0
408,28,97,22,44,2,44,0
755,95,75,17,39,41,32,0
298,11,30,55,19,47,36,1
1822,74,1,54,72,15,99,0
72,82,13,4,71,73,24,0
1381,65,12,11,55,56,53,1
130,58,93,88,64,47,70,0
1602,62,40,57,0,67,83,1
1847,25,28,75,99,91,31,1
1849,17,41,74,86,16,46,1
1882,67,15,44,23,58,60,0
628,89,50,68,90,69,89,1
305,31,27,30,40,17,2,0
1807,43,52,2,21,54,91,0
1963,39,16,45,77,53,41,0
1575,7,16,43,100,95,83,1
1299,28,18,39,94,53,22,1
1411,24,77,6,19,21,64,0
1047,26,8,81,20,64,47,0
1290,90,99,54,52,45,93,1
1554,14,20,16,45,20,17,1
1827,37,77,24,87,16,25,1
1862,75,56,59,76,88,27,1
293,36,65,81,70,42,73,0
626,44,62,12,83,98,5,1
1546,51,80,88,60,82,7,1
843,88,53,67,63,50,5,1
595,80,77,12,57,95,98,0
1581,38,13,91,85,9,52,0
1482,44,64,53,41,24,28,1
645,19,57,88,26,61,99,1
36,66,18,84,45,60,0,1
1055,87,77,89,78,48,94,1
709,12,60,16,89,96,32,0
956,50,86,25,28,44,25,0
1955,57,96,54,5,6,75,0
1393,35,77,82,22,64,98,1
1577,26,6,97,67,87,69,0
1803,22,100,8,35,44,40,0
1437,15,47,54,95,52,35,1
1045,93,82,79,53,74,71,1
460,47,17,7,23,6,0,0
1453,36,68,33,28,100,79,0
178,91,82,51,70,61,75,0
1985,15,3,37,72,85,45,0
1721,32,83,91,32,83,80,1
591,50,33,74,29,75,49,1
378,89,50,22,2,34,60,1
1815,4,59,42,95,95,27,1
189,28,14,29,1,42,15,0
203,17,59,58,33,94,20,0
1015,47,90,40,42,42,73,1
1878,38,47,82,78,33,20,1
994,78,93,63,64,97,20,1
817,44,21,60,82,44,81,1
1979,43,33,36,24,65,4,1
1753,31,99,36,53,93,94,0
412,53,92,1,8,16,19,0
1361,22,80,55,76,64,83,1
1147,72,58,70,85,65,21,0
752,59,61,52,89,23,57,1
1004,69,72,78,64,78,21,1
1830,37,2,32,14,5,0,0
844,80,23,91,65,17,50,0
1073,64,99,44,38,75,45,0
671,7,87,31,18,22,0,1
1273,9,40,33,87,3,64,0
1552,44,19,36,32,17,95,1
1922,30,26,99,25,13,46,0
168,30,5,90,43,85,1,0
1727,67,93,57,14,97,48,1
693,55,39,72,90,79,75,0
1898,74,30,14,76,83,39,0
1190,19,12,53,82,19,42,0
63,14,29,37,33,10,69,1
109,32,54,54,98,13,37,0
158,2,80,24,90,79,78,0
442,35,64,96,60,60,31,1
446,53,83,63,94,55,42,1
1483,96,100,39,97,54,57,1
975,45,74,91,95,32,41,0
855,84,98,93,98,41,54,0
93,65,45,65,31,53,69,0
1435,71,38,31,34,69,16,1
846,22,15,23,18,11,80,0
8,18,21,76,45,87,83,1
924,77,31,40,31,78,53,0
681,54,84,97,27,68,50,1
1310,47,38,9,21,22,21,1
1517,83,59,45,53,50,12,1
950,54,63,32,95,9,23,0
1032,25,72,45,48,58,81,1
549,70,40,7,26,64,34,0
1851,91,41,66,89,71,82,0
1706,96,1,54,6,38,2,0
796,38,85,83,65,92,91,1
1245,0,47,60,96,52,49,1
1630,79,32,47,63,30,18,1
590,13,26,62,59,73,20,0
564,51,45,59,90,80,51,0
1857,59,42,17,82,94,16,1
1994,2,28,14,54,76,46,0
1829,77,91,84,42,48,75,1
396,60,66,35,87,28,38,0
558,65,58,26,87,93,69,0
1102,24,70,29,18,94,7,0
328,4,40,32,73,100,51,0
1927,24,41,20,82,85,30,1
1139,23,4,98,60,9,26,1
1771,20,24,66,35,35,43,0
1016,50,3,60,45,51,94,1
792,77,100,96,31,21,16,1
379,64,53,98,28,91,22,0
691,65,47,83,16,97,70,1
1917,10,53,23,11,61,42,0
1597,42,26,30,71,51,74,0
601,28,80,98,30,20,92,1
1244,1,45,90,62,19,32,0
173,75,71,17,74,66,16,0
1373,33,14,16,69,20,86,1
1655,76,97,26,17,43,45,0
1144,1,2,39,4,68,62,1
1989,7,19,40,70,64,84,0
827,2,32,81,33,3,51,1
1211,6,64,11,72,7,86,0
202,65,44,65,49,79,83,0
649,27,52,15,19,36,23,0
1234,15,6,46,43,96,20,0
1287,63,12,3,71,90,18,0
1596,81,49,74,35,18,22,1
1053,60,17,60,24,29,72,1
1506,35,30,32,6,11,29,1
1031,37,8,46,17,77,19,0
224,28,31,40,37,62,21,1
1116,80,32,93,84,87,81,1
1494,64,21,85,81,7,48,1
938,25,25,94,52,54,5,0
1109,10,56,75,40,65,58,0
1576,57,63,10,86,72,95,0
1501,48,51,82,24,84,2,0
395,49,84,64,63,54,13,0
1886,28,33,67,61,74,60,0
85,40,14,60,39,33,65,0
1414,74,74,82,50,33,25,0
1892,61,81,33,0,57,43,0
49,94,51,52,64,29,57,0
1143,26,17,0,9,66,31,1
1664,83,93,38,9,39,24,0
1355,74,3,83,76,32,29,1
1557,46,59,80,10,15,26,1
301,27,72,71,41,93,64,0
54,88,6,14,48,69,37,0
1348,85,85,9,41,43,77,1
1024,72,5,56,40,40,50,0
339,97,59,44,80,20,67,0
665,78,44,15,58,73,5,1
1757,10,89,10,27,1,67,1
1616,16,87,68,95,51,45,1
1081,66,99,20,80,88,3,1
1764,12,95,76,92,58,68,1
1876,2,99,24,91,7,73,1
121,14,83,3,11,44,37,0
1262,58,19,1,30,54,26,1
1863,19,19,49,28,96,75,0
1240,56,79,76,11,60,65,0
1625,28,18,94,48,76,42,0
1923,46,63,59,32,54,91,1
644,51,29,5,31,69,36,1
842,24,5,93,15,67,79,0
1476,14,30,76,66,55,17,1
1454,40,70,5,47,97,47,1
1094,60,90,83,84,39,15,0
647,8,16,51,27,20,58,0
1716,93,54,90,84,54,26,0
281,12,73,68,96,82,12,0
285,10,51,72,44,42,31,1
171,81,79,88,86,53,40,1
1334,66,93,15,6,9,44,1
1457,71,57,34,2,14,57,0
678,71,17,46,31,11,17,0
505,81,9,13,54,7,2,1
526,20,9,20,62,44,38,1
1964,8,29,41,75,28,67,1
853,67,0,86,73,54,25,1
865,21,36,32,0,98,65,1
629,96,8,24,90,19,44,0
1322,59,30,16,28,38,71,0
1034,54,24,18,8,67,12,0
1663,84,35,51,82,8,75,0
943,70,66,56,91,13,62,0
1978,93,55,79,37,59,23,0
814,38,51,72,76,92,3,0
160,46,97,23,12,29,81,0
646,25,7,30,81,18,58,1
616,81,28,21,65,30,73,1
1817,41,90,67,58,38,68,0
1141,52,67,6,46,87,97,0
788,16,56,64,90,100,92,1
722,97,67,16,57,37,28,1
73,76,38,52,5,49,36,1
1091,78,89,68,54,29,80,1
318,95,5,0,71,68,15,0
612,99,52,81,84,9,64,1
804,60,30,7,32,9,30,1
851,12,46,86,6,29,18,1
1379,10,81,49,96,31,85,1
797,58,47,55,42,54,50,0
1156,99,61,70,25,70,97,0
1341,68,48,75,98,94,93,0
1653,14,73,57,14,98,62,1
1579,35,75,51,59,31,43,1
1019,70,63,89,46,28,38,0
823,38,37,71,86,20,4,0
1665,25,14,82,13,48,7,1
1523,33,44,68,47,37,25,0
784,95,76,43,54,99,97,1
739,99,61,53,48,8,80,0
1447,68,97,39,9,21,33,1
29,8,22,12,72,15,95,1
745,44,9,29,5,49,17,0
1785,71,91,51,31,75,65,1
1466,85,17,87,26,74,44,0
1423,71,48,1,38,12,80,1
164,38,23,94,61,13,40,1
284,34,15,37,46,37,56,1
1638,81,0,88,21,3,77,1
524,90,28,27,71,84,99,0
673,7,38,6,74,88,34,1
127,38,65,56,73,84,53,0
1350,65,90,29,46,33,27,0
172,96,5,21,10,71,65,1
830,46,87,69,75,82,71,0
1505,91,53,96,87,96,43,1
1852,44,56,98,2,9,30,0
12,1,69,58,5,62,95,1
1347,28,72,63,46,67,10,1
1593,68,69,93,79,96,78,1
137,21,3,33,63,46,50,1
1440,91,41,23,16,73,18,1
294,16,38,4,11,47,17,0
904,20,42,75,27,56,72,1
269,69,2,72,10,65,63,1
873,55,35,83,46,96,20,1
1098,93,70,96,45,41,94,1
934,78,81,17,62,98,6,1
1918,6,85,10,59,42,11,1
1450,90,90,41,17,26,93,1
445,10,46,66,3,87,83,0
578,30,54,18,23,15,75,1
209,34,68,86,75,74,84,1
1343,27,99,93,44,52,92,1
1572,91,4,100,83,0,3,1
805,4,19,24,59,18,55,1
1789,72,6,56,38,100,65,0
350,84,81,34,84,29,26,1
248,8,60,3,1,77,54,1
953,23,77,92,18,43,99,0
1708,9,87,55,100,70,47,0
1730,16,0,41,8,24,65,0
80,24,72,60,10,87,88,0
1000,55,52,5,27,7,6,1
1938,99,84,76,8,69,92,1
1488,88,42,62,55,23,6,0
634,36,57,43,73,100,32,1
1059,34,56,62,75,71,99,0
925,2,55,5,54,24,40,0
87,37,59,97,24,6,47,1
353,11,25,72,56,90,2,0
1545,56,67,50,93,39,48,1
1648,7,56,76,84,93,1,1
1096,46,94,36,4,5,21,0
606,69,36,40,7,2,47,0
859,85,82,33,55,18,24,1
1996,52,64,20,14,3,30,1
1185,91,72,26,22,54,77,1
392,0,3,9,85,61,43,0
1113,68,86,48,82,23,18,0
1670,33,53,90,85,3,73,0
835,17,9,50,43,11,56,0
450,67,45,12,73,62,63,0
223,44,88,34,45,48,38,1
889,5,56,62,98,41,62,1
1933,65,50,43,16,93,12,0
832,62,81,91,25,28,61,1
683,8,76,26,12,74,31,0
1508,94,81,72,10,7,72,1
1516,51,1,24,60,39,76,0
1819,87,66,76,47,91,64,1
348,15,87,70,2,72,41,1
723,49,88,67,16,56,12,0
276,23,30,17,13,6,37,0
657,91,91,25,83,88,13,1
75,90,20,71,57,44,65,0
1036,22,68,9,64,27,14,1
129,59,10,35,34,70,47,1
163,62,55,7,19,48,31,1
21,57,32,72,56,5,96,1
1601,75,11,75,61,69,28,0
1605,95,37,69,69,61,40,1
307,46,87,56,67,8,19,1
719,78,39,51,51,85,90,0
1749,77,31,72,19,68,17,1
297,55,77,98,93,80,37,0
514,71,66,96,59,19,13,0
756,14,76,95,69,87,27,1
1419,79,52,19,100,18,23,0
980,55,53,64,55,100,48,1
1275,54,63,38,45,11,87,1
1796,13,77,91,56,26,23,0
1578,29,78,79,22,19,14,1
245,64,40,84,8,75,7,1
985,8,53,19,92,8,81,1
1490,95,28,40,92,28,32,0
1279,84,97,45,27,30,3,0
666,9,64,99,19,11,57,0
1154,6,98,93,100,13,77,1
1229,5,59,37,97,57,86,0
1127,27,55,20,51,13,0,0
1304,21,56,43,6,65,3,1
50,25,70,36,90,38,10,0
1763,68,27,71,31,68,10,1
1089,90,28,22,54,93,63,0
1613,87,88,30,15,30,90,0
1991,19,43,68,89,93,64,1
922,86,6,30,67,35,68,0
999,6,78,11,39,71,27,1
279,59,52,97,65,58,13,1
741,18,67,17,16,67,18,1
808,51,17,40,77,95,34,0
1357,63,74,27,89,45,0,0
74,96,46,28,71,74,80,1
1342,92,43,21,27,71,59,0
881,13,46,88,80,10,12,0
197,95,40,46,66,100,96,1
1780,63,96,79,39,22,57,0
848,80,1,16,45,36,7,1
622,73,96,31,88,18,92,0
717,95,64,65,94,98,80,0
1668,46,51,93,35,23,73,1
1071,96,82,48,52,28,42,0
1658,27,34,90,94,80,31,1
664,39,58,72,0,6,74,0
868,96,61,6,33,8,11,1
636,67,47,50,85,12,17,0
1760,12,78,51,76,73,31,1
1283,49,13,16,99,46,12,1
481,60,95,21,13,74,54,0
1125,100,44,56,82,36,42,0
111,13,50,91,61,80,54,1
1462,21,5,37,12,45,33,0
899,87,91,16,58,45,96,0
1025,69,29,78,54,8,11,1
504,13,100,100,57,15,34,0
1714,25,65,27,93,8,11,0
1604,91,26,52,89,77,67,0
1511,70,77,3,4,40,82,0
1986,20,72,46,36,20,59,0
1629,2,91,95,86,6,31,0
92,5,0,0,67,21,23,1
1162,3,65,57,72,92,76,0
1719,17,80,84,56,37,41,0
1224,60,81,73,32,28,51,0
1402,75,1,86,86,96,83,1
1904,5,67,51,57,18,31,0
639,15,96,90,76,64,47,0
643,61,61,87,12,39,42,1
409,9,70,34,47,86,96,1
1976,40,88,64,25,37,47,0
1544,9,8,70,45,38,43,1
1768,91,30,17,37,94,48,1
727,22,57,70,9,37,35,0
479,55,63,50,33,76,100,1
1723,72,97,60,91,6,6,1
982,35,18,50,45,25,16,1
847,7,34,2,87,87,13,0
1448,3,97,45,89,5,8,0
812,16,31,99,11,95,2,1
501,50,67,95,94,20,24,0
1260,29,13,74,14,70,68,0
1833,96,100,24,26,89,2,1
324,96,95,92,5,44,94,0
1526,40,68,65,60,55,69,1
1048,66,43,77,19,62,59,0
992,5,87,54,17,19,16,0
1622,43,76,1,49,76,33,1
780,63,25,92,66,51,3,0
1990,46,58,92,92,99,66,1
1836,10,52,88,88,39,37,1
103,34,80,84,41,23,87,1
1200,57,2,8,31,6,16,0
476,29,1,22,19,8,6,1
1396,86,26,38,67,56,4,1
1288,91,31,46,19,45,80,1
986,13,96,79,88,39,34,0
1164,61,78,89,43,20,36,1
852,31,61,92,6,37,96,1
1826,26,12,31,94,12,61,1
5,36,19,61,8,14,12,1
1649,83,38,45,65,90,30,0
806,16,44,81,63,27,63,1
153,91,19,17,21,69,22,0
1035,74,4,45,14,74,81,1
1401,39,27,90,53,29,65,0
491,37,99,86,10,74,24,0
438,34,67,32,45,7,44,0
819,97,57,72,77,98,95,0
1235,62,49,45,58,81,51,0
1944,25,17,80,76,60,46,1
1709,82,97,33,70,18,75,0
854,78,10,25,46,4,29,1
361,71,85,35,64,80,7,0
1980,28,37,4,48,29,39,0
486,81,7,41,59,100,69,0
1586,21,6,15,21,31,75,0
1472,14,20,68,6,23,88,0
148,20,27,24,27,80,35,1
820,70,70,86,87,74,83,0
343,87,81,45,56,52,31,0
1701,3,2,41,25,5,8,1
102,20,52,95,4,64,81,1
283,12,8,97,7,96,38,1
275,82,69,90,56,0,61,1
1320,46,1,78,87,91,21,0
738,93,19,74,43,27,44,0
918,90,41,82,63,83,39,1
553,88,54,19,6,8,94,1
834,27,34,69,77,85,12,1
1312,30,23,82,27,28,62,0
1813,69,16,35,7,34,17,0
1503,88,50,80,87,3,48,0
66,28,1,13,74,35,55,0
1153,22,36,52,42,8,85,1
240,77,0,38,94,91,21,0
1176,48,86,96,27,72,22,1
1776,79,39,25,76,95,39,0
1078,37,67,95,94,42,34,0
282,1,13,99,77,75,88,0
1611,20,86,59,52,58,97,1
1167,83,91,39,58,18,8,0
1518,28,96,9,91,81,35,0
625,47,78,20,58,51,10,1
1992,92,23,36,36,23,65,1
803,56,69,74,71,13,85,1
949,99,61,18,95,68,64,0
1286,12,44,46,1,93,2,0
550,72,100,74,55,20,42,1
1052,36,9,2,78,48,19,0
1406,53,10,13,0,0,55,1
251,46,47,21,40,0,11,1
704,46,41,37,32,68,27,0
542,65,5,25,68,16,59,1
815,40,60,55,68,42,100,1
1682,34,100,87,5,52,27,0
1949,20,0,12,80,13,62,1
1093,52,44,57,89,64,39,1
559,17,33,43,9,24,53,0
617,71,0,75,69,44,99,1
83,82,19,54,92,40,62,0
674,88,98,73,41,10,23,1
1186,17,97,0,66,92,66,1
1741,80,40,30,6,62,8,1
1375,9,9,92,68,48,5,0
52,27,74,69,64,20,28,1
1588,72,63,44,60,68,55,0
977,41,17,83,59,13,30,0
623,11,99,7,32,39,20,1
1728,74,28,100,6,67,16,0
1702,22,47,49,63,98,8,0
1640,87,37,9,6,45,48,0
1340,51,33,49,55,29,87,1
76,35,30,16,26,65,7,0
609,4,48,85,68,18,31,1
1685,53,44,59,33,99,5,1
1155,69,5,23,44,41,44,1
1063,3,54,11,34,78,96,0
34,41,71,34,39,84,49,1
44,45,97,99,16,23,33,1
1631,30,47,89,16,22,12,0
14,22,27,100,49,59,59,0
236,67,0,21,78,72,57,0
359,72,97,80,37,89,98,0
1306,93,51,70,90,13,54,1
463,36,35,49,98,85,29,0
522,29,74,53,29,100,82,1
37,20,22,4,46,32,95,1
1087,65,59,74,28,16,26,1
1391,56,17,51,24,50,44,1
1352,47,87,27,44,48,49,0
1076,86,50,20,98,65,58,1
169,82,55,30,21,35,88,1
1382,35,48,35,0,74,84,0
265,92,60,71,79,24,2,0
1610,97,49,44,83,58,0,0
1901,56,96,74,67,65,30,1
902,43,42,7,47,91,55,1
1166,65,50,72,50,60,60,1
475,26,81,13,11,64,67,1
884,20,88,31,40,5,87,1
273,27,59,24,39,30,63,0
43,65,43,4,28,30,96,1
1549,23,52,83,85,53,54,1
951,74,78,41,75,79,15,0
1042,4,63,30,30,32,23,1
896,85,20,98,49,77,10,0
1537,5,46,67,3,48,65,1
1619,46,62,51,54,42,30,1
338,70,53,30,76,44,94,1
242,70,24,11,83,98,1,0
1681,31,94,54,94,44,98,0
809,15,96,2,62,73,14,0
1820,55,48,73,12,86,90,0
1051,62,57,77,92,6,84,0
478,39,78,8,30,24,70,1
406,2,17,76,73,78,91,0
386,86,81,58,57,66,28,0
1931,23,62,67,79,28,59,1
1806,93,89,60,25,9,1,0
299,80,37,64,69,17,31,1
161,56,27,91,98,5,19,0
829,16,89,99,11,17,89,0
154,83,55,93,11,64,69,0
40,57,41,22,94,60,84,1
368,95,62,100,82,31,15,1
381,69,25,22,96,91,84,0
415,46,0,68,41,99,30,0
1365,98,92,27,11,38,17,0
734,24,70,85,33,82,22,1
464,6,93,0,89,10,100,0
547,19,93,10,33,38,3,1
261,28,17,69,80,14,8,1
1443,3,3,72,73,95,10,0
344,16,91,20,70,94,87,1
20,35,21,7,48,30,34,0
473,77,77,45,35,81,1,1
457,51,17,45,95,15,93,0
135,45,84,94,27,42,9,0
147,41,28,28,7,30,45,0
978,26,100,90,48,91,93,0
1657,20,20,42,65,22,80,1
898,8,97,96,69,2,52,0
1888,63,32,22,53,70,5,0
778,10,33,39,44,97,33,1
596,19,46,62,90,10,7,1
879,94,95,9,14,34,65,0
555,39,34,15,93,99,15,0
1908,49,33,57,3,96,63,0
1915,44,72,59,98,4,69,1
1146,0,69,65,10,40,62,1
1169,78,87,70,6,13,25,1
1265,71,19,82,32,92,93,0
523,67,18,91,32,88,68,1
940,98,45,84,22,2,87,0
1832,50,80,72,9,33,75,0
603,25,75,45,71,51,60,1
1717,27,43,47,26,22,17,1
1145,86,69,56,10,22,58,1
1250,9,75,30,61,62,73,0
1589,17,36,44,23,10,32,1
1056,65,91,78,37,8,5,0
1215,85,1,18,15,61,63,1
839,93,81,31,47,82,4,1
1302,76,34,6,10,69,57,0
923,73,72,37,45,91,40,0
510,31,41,4,53,38,21,1
996,24,7,20,69,65,80,1
1383,17,92,3,15,38,14,1
1988,34,0,46,19,90,100,1
1317,79,27,67,34,89,92,0
208,20,4,51,34,34,82,0
1680,98,18,75,0,30,95,1
390,63,85,72,96,45,44,0
1481,77,83,40,77,91,100,0
1126,36,13,87,56,96,63,1
1307,29,95,76,78,11,72,1
1547,56,3,92,73,22,70,0
25,4,1,54,23,13,90,1
270,71,32,82,11,23,22,1
1255,5,33,46,0,71,84,0
139,0,46,57,87,100,16,0
1603,56,18,44,36,58,37,1
710,46,62,98,21,46,61,1
330,5,91,39,89,76,3,0
714,64,30,65,90,67,33,0
1621,49,26,64,43,21,20,0
1451,34,19,64,69,23,31,0
177,25,9,55,55,60,14,1
1152,10,91,15,11,13,22,0
39,6,55,84,35,77,64,1
1219,59,84,25,29,91,54,1
110,33,19,57,63,60,77,1
215,8,87,8,44,97,79,0
1528,67,53,51,71,97,4,1
957,46,43,56,57,79,29,1
783,36,82,47,66,64,87,1
1656,61,24,51,85,69,74,0
620,49,33,87,56,6,91,0
1105,27,40,35,32,3,20,1
345,85,87,32,12,13,68,1
1468,58,49,5,100,80,70,1
57,1,53,90,25,81,65,1
900,87,9,43,52,9,65,0
1775,33,57,7,93,21,92,0
1950,61,42,18,52,87,94,1
1449,74,19,61,48,37,64,1
71,30,26,11,11,31,57,1
583,90,21,45,37,4,17,1
1217,4,4,70,50,77,31,1
1676,83,8,95,2,100,16,0
1271,91,52,70,6,37,58,1
1314,74,80,6,61,89,75,1
751,3,83,15,89,70,69,1
614,5,47,70,20,55,12,0
407,21,98,84,9,56,79,1
769,14,10,41,68,61,73,0
742,35,19,92,39,42,52,0
1463,39,65,39,71,20,98,1
632,98,45,85,11,70,95,0
1327,90,68,58,47,24,39,0
414,13,88,0,84,41,91,1
216,99,78,19,48,97,6,1
700,53,84,60,34,12,64,1
1691,59,62,11,56,60,7,1
219,14,61,70,79,92,34,0
987,31,45,89,34,65,20,1
1773,75,45,40,7,36,87,0
1135,24,66,97,23,9,49,1
131,3,2,80,13,82,77,1
1885,41,5,87,53,89,80,1
624,21,49,71,68,17,59,0
1158,69,81,5,54,5,28,0
740,61,95,41,53,87,73,0
539,54,11,17,46,60,24,0
929,5,22,70,12,78,54,1
1210,55,12,20,56,50,64,0
258,11,36,22,46,53,29,1
220,53,54,94,85,0,46,0
4,41,87,10,81,68,85,0
1313,76,16,16,66,35,11,1
1172,9,24,23,7,26,80,0
519,24,13,61,8,88,34,0
1754,4,97,87,43,6,39,0
